rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_fit_intercept,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
188,13.511643505096435,0.13012099556462584,0.018792390823364258,0.002391772392451387,5.799999999999994,False,l2,saga,"{'C': np.float64(5.799999999999994), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'saga'}",0.933784182471477,0.9308203106659388,0.9115667532741842,0.9669867203974035,0.94018414581812,0.9366684225254247,0.017911853886928415
110,5.124877119064331,0.2898530042717581,0.01794281005859375,0.0008316788289766049,5.899999999999993,True,l1,liblinear,"{'C': np.float64(5.899999999999993), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.9453752706954982,0.9213123425532167,0.938865592823624,0.9767529893510081,0.963780070185396,0.9492172531217486,0.01934370256308632
81,233.9750756263733,10.62417685011107,0.019097328186035156,0.0013113985979876228,5.899999999999993,True,l1,saga,"{'C': np.float64(5.899999999999993), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'saga'}",0.9446402075065385,0.9272528717109725,0.94138285547461,0.9777155263213455,0.9652447750295035,0.9512472472085939,0.017962125919358994
58,3.9821872234344484,0.2059994883717464,0.018578100204467773,0.0007470838381031401,5.899999999999993,True,l2,liblinear,"{'C': np.float64(5.899999999999993), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}",0.9433174657969803,0.9274486566383684,0.9420942883042308,0.9783928832092184,0.9670962046935618,0.951669899728472,0.018440243135848734
19,23.238089036941528,1.556020856720938,0.019737052917480468,0.0015634039581475963,5.899999999999993,True,l2,saga,"{'C': np.float64(5.899999999999993), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.9430811398670553,0.9294495994060901,0.9420689697928049,0.9784196323899543,0.967120343901519,0.9520279370714848,0.01796279414185765
210,3.6515953063964846,0.5896817448803028,0.020459461212158202,0.0016495254038158373,5.899999999999993,False,l1,liblinear,"{'C': np.float64(5.899999999999993), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'liblinear'}",0.9365324501500668,0.9224723985955683,0.9121833283931888,0.9672224340046338,0.9423513535260548,0.9361523929339025,0.018791366677819367
146,378.6842697143555,18.624447176291863,0.019012308120727538,0.0016962393627255204,5.899999999999993,False,l1,saga,"{'C': np.float64(5.899999999999993), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'saga'}",0.9356331311390451,0.9263643393622172,0.9145641788931449,0.9678170721942179,0.9432671076902845,0.9375291658557818,0.017921608026818175
186,3.7906346321105957,0.4599023965205639,0.022529458999633788,0.006770657323541428,5.899999999999993,False,l2,liblinear,"{'C': np.float64(5.899999999999993), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'liblinear'}",0.9337750114853623,0.9307740957118635,0.9116750939592069,0.967041519367339,0.9402737810132584,0.936707900307406,0.017906966342563366
185,13.752947998046874,0.11862097865767565,0.01981010437011719,0.0012721409186286026,5.899999999999993,False,l2,saga,"{'C': np.float64(5.899999999999993), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'saga'}",0.9337759199321001,0.9307844572259574,0.9116752673736688,0.9670418661962626,0.9402757277235775,0.9367106476903133,0.017906396844328595
111,5.3471160411834715,0.20084306573239316,0.018461036682128906,0.0005237567581044076,5.999999999999993,True,l1,liblinear,"{'C': np.float64(5.999999999999993), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.9453332658487186,0.921167714892058,0.9387098666369087,0.976707554762011,0.9637274008562063,0.9491291605991805,0.019382927502642484
82,239.45114946365356,11.963026596041882,0.026969385147094727,0.014836932090277095,5.999999999999993,True,l1,saga,"{'C': np.float64(5.999999999999993), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'saga'}",0.9446332427482158,0.9272137667498319,0.941273430949201,0.9776882568972243,0.9652569311539406,0.9512131256996827,0.01797900255829352
60,4.434974622726441,0.40690716980403846,0.020882177352905273,0.0017544581862508216,5.999999999999993,True,l2,liblinear,"{'C': np.float64(5.999999999999993), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}",0.9433116690416059,0.9274105921639988,0.9421028723200909,0.978383128645741,0.967102434166583,0.951662139267604,0.01844809721570994
21,23.625686740875246,1.5358583941222002,0.02321615219116211,0.00435086595017769,5.999999999999993,True,l2,saga,"{'C': np.float64(5.999999999999993), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.9430865472881135,0.9294195119969642,0.9420619031534856,0.9784118287391725,0.9671188730537222,0.9520197328462915,0.01796806566923005
215,5.875173950195313,0.6863298099887113,0.023370075225830077,0.0023798296156649448,5.999999999999993,False,l1,liblinear,"{'C': np.float64(5.999999999999993), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'liblinear'}",0.9364934734590797,0.9221910769848791,0.9120634990000704,0.9671975490293624,0.9423095641445376,0.9360510325235859,0.01885189961013567
148,375.5984473705292,26.85859446150158,0.019291257858276366,0.0012627943482448423,5.999999999999993,False,l1,saga,"{'C': np.float64(5.999999999999993), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'saga'}",0.9355752933634072,0.9262348854664677,0.9145159263191432,0.967808228056665,0.9432609647377219,0.9374790595886809,0.017947981246912183
184,3.877794694900513,0.5213767672460495,0.02394900321960449,0.007712106278515986,5.999999999999993,False,l2,liblinear,"{'C': np.float64(5.999999999999993), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'liblinear'}",0.9337632449371398,0.9307424475725812,0.9117770183091423,0.9670943240709635,0.940351346604418,0.9367456762988489,0.017902004433707826
183,14.883673858642577,0.6866892987045911,0.018988895416259765,0.0010200413889542318,5.999999999999993,False,l2,saga,"{'C': np.float64(5.999999999999993), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'saga'}",0.933761298265559,0.9307542831096004,0.9117781888567595,0.9670958414475044,0.9403542450397822,0.9367487713438412,0.01790158081721741
112,5.379724836349487,0.812789926221673,0.018923521041870117,0.00247784448856143,6.0999999999999925,True,l1,liblinear,"{'C': np.float64(6.0999999999999925), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.9453717666866526,0.9210676113939719,0.9385424566508282,0.9766530592673837,0.9636643707020962,0.9490598529401865,0.019403402620034184
83,240.55751504898072,11.994474184499559,0.0188906192779541,0.0010038383057330963,6.0999999999999925,True,l1,saga,"{'C': np.float64(6.0999999999999925), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'saga'}",0.9446301280736864,0.9271543289430427,0.9411615786213263,0.9776635453364148,0.9652474787938357,0.9511714119536612,0.01799874564150037
62,4.068881559371948,0.37373750900311825,0.020208358764648438,0.004504991927242631,6.0999999999999925,True,l2,liblinear,"{'C': np.float64(6.0999999999999925), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}",0.9433210130651944,0.9273575273386815,0.9421044330502473,0.9783725070099545,0.9671042078359848,0.9516519376600124,0.01845827186773199
23,23.065283393859865,1.345892166890886,0.022875404357910155,0.0072835507537674544,6.0999999999999925,True,l2,saga,"{'C': np.float64(6.0999999999999925), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.9430878883285359,0.9293909853179947,0.942065458149953,0.9784023342973878,0.9671234586380296,0.9520140249463802,0.017972699714498767
218,3.288316011428833,0.12439547020431724,0.0185239315032959,0.0017862508656207084,6.0999999999999925,False,l1,liblinear,"{'C': np.float64(6.0999999999999925), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'liblinear'}",0.9364512955748261,0.921901561540869,0.9119616613573661,0.9671734877727847,0.9422515521770277,0.9359479116845748,0.018908548532125587
149,388.7672083377838,23.507880388724452,0.019573450088500977,0.0018676232709624319,6.0999999999999925,False,l1,saga,"{'C': np.float64(6.0999999999999925), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'saga'}",0.9355385661595803,0.9260960671897801,0.914473049593458,0.967817549083988,0.9432324129863747,0.9374315290026363,0.017978477416036524
181,3.8967551708221437,0.43444486956318396,0.01923508644104004,0.0018518597657441406,6.0999999999999925,False,l2,liblinear,"{'C': np.float64(6.0999999999999925), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'liblinear'}",0.9337498345329156,0.93072137771547,0.9118774686361522,0.9671440940215061,0.9404262300613604,0.9367838009934809,0.017895798402091007
180,14.241011714935302,0.23601961460589505,0.018988704681396483,0.0009350905862486723,6.0999999999999925,False,l2,saga,"{'C': np.float64(6.0999999999999925), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'saga'}",0.9337494884579678,0.9307300050849454,0.911877078453613,0.9671460882878171,0.9404303830433745,0.9367866086655436,0.017896180241150018
113,5.255669403076172,0.25178111007036585,0.022190284729003907,0.004467145757822193,6.199999999999992,True,l1,liblinear,"{'C': np.float64(6.199999999999992), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.9453683924559122,0.9209550654082499,0.9384133279071949,0.9766261800258014,0.9635869348916244,0.9489899801377565,0.019430741344440127
85,243.38211545944213,10.310735844196,0.024108695983886718,0.008858085395795454,6.199999999999992,True,l1,saga,"{'C': np.float64(6.199999999999992), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'saga'}",0.9446216924968355,0.9270879112041652,0.9410541917158437,0.9776467674872336,0.9652275358281219,0.9511276197464401,0.018020995859667564
64,4.073146104812622,0.4467607618200169,0.019520282745361328,0.0016636322608503174,6.199999999999992,True,l2,liblinear,"{'C': np.float64(6.199999999999992), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}",0.9433206669902467,0.92731785878054,0.9420966727530808,0.9783627524464771,0.9671244536233038,0.9516444809187297,0.01847011993519856
24,23.15228953361511,1.7106138040312093,0.020658206939697266,0.0027646519319911573,6.199999999999992,True,l2,saga,"{'C': np.float64(6.199999999999992), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.9430873259567459,0.9293558688894759,0.9420647644921057,0.9783950942436066,0.9671274385791264,0.9520060984322122,0.017980219960217196
221,6.018656539916992,1.3988767558257809,0.02154383659362793,0.0019104597682111787,6.199999999999992,False,l1,liblinear,"{'C': np.float64(6.199999999999992), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'liblinear'}",0.9363932847617145,0.9216239249874935,0.9118480532080657,0.9671424899377343,0.9421993370802461,0.9358414179950509,0.018964722291688666
151,381.3822494983673,16.447176667382088,0.018188095092773436,0.000620766560416695,6.199999999999992,False,l1,saga,"{'C': np.float64(6.199999999999992), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'saga'}",0.9355075059330223,0.9259346183258247,0.9144244068369172,0.9678164652436015,0.9432199973005617,0.9373805987279855,0.018010809178771212
179,3.853956460952759,0.5044411634743389,0.02088923454284668,0.004110703505578552,6.199999999999992,False,l2,liblinear,"{'C': np.float64(6.199999999999992), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'liblinear'}",0.9337375056129031,0.9306889925647249,0.9119745807347719,0.9671942108009723,0.9405042715150425,0.936819912245683,0.017891631678652476
